term,language,classification,tier,file,surface,context,occurrences,customer_importance,ru_proposal,ro_proposal,english_once,owner_decision_required,tier_1_reason,decision_critical,conversion_risk,first_time_owner_comprehension,notes
"Document checklist","RU","A","1","index.html","PROSE","Document checklist","1","MEDIUM","","","NO","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL","wording not yet proposed — long tail"
"structure","RU","A","1","index.html","PROSE","Денежный поток / прибыль и убытки structure","1","MEDIUM","","","NO","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL","wording not yet proposed — long tail"
"Payment calendar logic","RU","A","1","index.html","PROSE","Payment calendar logic","1","MEDIUM","","","NO","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL","wording not yet proposed — long tail"
"Action plan","RU","A","1","index.html","PROSE","Action plan","1","MEDIUM","","","NO","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL","wording not yet proposed — long tail"
"concept","RU","A","1","index.html","PROSE","Owner панель собственника concept","1","MEDIUM","","","NO","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL","wording not yet proposed — long tail"
"Recommendation","RU","A","1","index.html","PROSE","Recommendation","1","MEDIUM","","","NO","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL","wording not yet proposed — long tail"
"Bank statements","RU","A","1","index.html","PROSE","Bank statements","1","MEDIUM","","","NO","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL","wording not yet proposed — long tail"
"AP aging","RU","A","1","index.html","PROSE","AR / AP aging","1","MEDIUM","","","NO","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL","wording not yet proposed — long tail"
"AR","RU","A","1","index.html","PROSE","AR / AP aging","1","MEDIUM","","","NO","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL","wording not yet proposed — long tail"
"Owner view","RU","A","1","index.html","PROSE","Owner view: что требует решения","1","MEDIUM","","","NO","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL","wording not yet proposed — long tail"
"IFRS-","RU","A","1","index.html","PROSE","Big4 / IFRS-фундамент","1","MEDIUM","","","NO","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL","wording not yet proposed — long tail"
"Big","RU","A","1","index.html","PROSE","Big4 / IFRS-фундамент","1","MEDIUM","","","NO","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL","wording not yet proposed — long tail"
"Cash flow & treasury control","RU","A","1","index.html","PROSE","Cash flow & treasury control","1","MEDIUM","","","NO","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL","wording not yet proposed — long tail"
"triage","RU","A","1","index.html","CTA","9 вопросов покажут, где могут застревать деньги: дебиторка, запасы, авансы, условия поставщиков или платёжная дисциплина. Это первый финансовый директор-triage,","1","MEDIUM","","","NO","NO","Appears in a button, card or formula where the customer decides.","YES","LOW","FAIL","wording not yet proposed — long tail"
"Iacovlev Ghennadi","RU","A","1","privacy.html","PROSE","Iacovlev Ghennadi","1","MEDIUM","","","NO","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL","wording not yet proposed — long tail"
"questionnaire","RU","A","1","privacy.html","PROSE","(questionnaire.html): информация о вашем бизнесе и финансовом учёте, которую вы вводите для подготовки консультации.","1","MEDIUM","","","NO","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL","wording not yet proposed — long tail"
"working-capital-scan","RU","A","1","privacy.html","PROSE","(working-capital-scan.html): ответы на вопросы обрабатываются в вашем браузере. Необязательные поля (имя, компания, контакт, комментарий) используются только ес","1","MEDIUM","","","NO","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL","wording not yet proposed — long tail"
"rule-based","RU","A","1","privacy.html","PROSE","Финансовый навигатор на сайте работает по заранее заданным правилам (rule-based) и помогает выбрать подходящий первый шаг. Он не запрашивает и не собирает персо","1","MEDIUM","","","NO","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL","wording not yet proposed — long tail"
"Google Analytics","RU","A","1","privacy.html","PROSE","Сайт использует Google Analytics 4 для обезличенной статистики посещений и взаимодействий. Google Analytics загружается только после вашего явного согласия в ба","1","MEDIUM","","","NO","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL","wording not yet proposed — long tail"
"score","RU","A","1","privacy.html","PROSE",": имя, email, телефон, Telegram, название компании и текст комментариев в события аналитики не отправляются. Из мини-скана и финансового рентгена в аналитику мо","1","MEDIUM","","","NO","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL","wording not yet proposed — long tail"
"GitHub Pages","RU","A","1","privacy.html","PROSE","Мы не продаём ваши данные. Для работы сайта привлекаются: хостинг страниц (GitHub Pages), веб-аналитика и веб-шрифты (сервисы Google), а также email-провайдер.","1","MEDIUM","","","NO","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL","wording not yet proposed — long tail"
"email-","RU","A","1","privacy.html","PROSE","Мы не продаём ваши данные. Для работы сайта привлекаются: хостинг страниц (GitHub Pages), веб-аналитика и веб-шрифты (сервисы Google), а также email-провайдер.","1","MEDIUM","","","NO","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL","wording not yet proposed — long tail"
"Financial X-Ray","RU","A","1","privacy.html","PROSE","Результаты Финансового рентгена бизнеса (Financial X-Ray) и план действий на 30 дней готовятся автоматизированно с участием искусственного интеллекта на основе ","1","MEDIUM","","","NO","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL","wording not yet proposed — long tail"
"Cookies","RU","A","1","privacy.html","PROSE","10. Cookies и шрифты","1","MEDIUM","","","NO","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL","wording not yet proposed — long tail"
"GMT","RU","A","1","questionnaire.html","ARIA","напр. GMT+2","1","MEDIUM","","","NO","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL","wording not yet proposed — long tail"
"Services","RU","A","1","questionnaire.html","PROSE","Services","1","MEDIUM","","","NO","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL","wording not yet proposed — long tail"
"Other","RU","A","1","questionnaire.html","PROSE","Other","1","MEDIUM","","","NO","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL","wording not yet proposed — long tail"
"Google Meet","RU","A","1","questionnaire.html","PROSE","Google Meet","1","MEDIUM","","","NO","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL","wording not yet proposed — long tail"
"Microsoft Teams","RU","A","1","questionnaire.html","PROSE","Microsoft Teams","1","MEDIUM","","","NO","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL","wording not yet proposed — long tail"
"Telegram call","RU","A","1","questionnaire.html","PROSE","Telegram call","1","MEDIUM","","","NO","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL","wording not yet proposed — long tail"
"HoReCa","RU","A","1","questionnaire.html","PROSE","HoReCa / рестораны / кафе","1","MEDIUM","","","NO","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL","wording not yet proposed — long tail"
"Excel-","RU","A","1","questionnaire.html","PROSE","Excel-файлы не связаны","1","MEDIUM","","","NO","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL","wording not yet proposed — long tail"
"Tableau","RU","A","1","questionnaire.html","PROSE","Looker / Tableau / другой BI","1","MEDIUM","","","NO","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL","wording not yet proposed — long tail"
"Looker","RU","A","1","questionnaire.html","PROSE","Looker / Tableau / другой BI","1","MEDIUM","","","NO","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL","wording not yet proposed — long tail"
"Zapier","RU","A","1","questionnaire.html","PROSE","Make / n8n / Zapier","1","MEDIUM","","","NO","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL","wording not yet proposed — long tail"
"Meet","RU","A","1","questionnaire.html","PROSE","Еженедельные Zoom/Meet встречи","1","MEDIUM","","","NO","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL","wording not yet proposed — long tail"
"Email summary","RU","A","1","questionnaire.html","PROSE","Email summary после встречи","1","MEDIUM","","","NO","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL","wording not yet proposed — long tail"
"Google Drive","RU","A","1","questionnaire.html","PROSE","Google Drive","1","MEDIUM","","","NO","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL","wording not yet proposed — long tail"
"Microsoft OneDrive","RU","A","1","questionnaire.html","PROSE","Microsoft OneDrive","1","MEDIUM","","","NO","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL","wording not yet proposed — long tail"
"Dropbox","RU","A","1","questionnaire.html","PROSE","Dropbox","1","MEDIUM","","","NO","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL","wording not yet proposed — long tail"
"intake","RU","A","1","questionnaire.html","PROSE","Это структурированная самодиагностика и intake перед экспертная финансовая диагностика : FINMENTOR смотрит денежный поток, прибыль и убытки, платежи, дебиторку,","1","MEDIUM","","","NO","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL","wording not yet proposed — long tail"
"webhook FINMENTOR","RU","A","1","thank-you.html","PROSE","Если вопрос срочный, можно написать напрямую в FINMENTOR Bot. Персональные данные не передаются в GA4; обработка заявки идёт через операционный webhook FINMENTO","1","MEDIUM","","","NO","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL","wording not yet proposed — long tail"
"GA","RU","A","1","thank-you.html","PROSE","Если вопрос срочный, можно написать напрямую в FINMENTOR Bot. Персональные данные не передаются в GA4; обработка заявки идёт через операционный webhook FINMENTO","1","MEDIUM","","","NO","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL","wording not yet proposed — long tail"
"Limb","RO","A","1","ro/index.html","PROSE","Limbă · Язык","1","MEDIUM","","","NO","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL","wording not yet proposed — long tail"
"SCROLL","RO","A","1","ro/index.html","PROSE","SCROLL","1","MEDIUM","","","NO","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL","wording not yet proposed — long tail"
"Cap Rate","RO","B","1","ro/index.html","PROSE","Chiriași și contracte, NOI, Cap Rate, vacancy, investiții de capital , tenant rating, recuperarea investiției.","1","MEDIUM","Ставка капитализации","Rata de capitalizare","YES","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL",""
"RETAIL ENGINE","RO","E","1","ro/index.html","CARD","RETAIL ENGINE","1","MEDIUM","СИСТЕМА УПРАВЛЕНИЯ МАРЖОЙ","SISTEM DE MANAGEMENT AL MARJEI","NO","YES","Appears in a button, card or formula where the customer decides.","YES","LOW","FAIL","module-name fragment"
"Unit economics","RO","B","1","ro/index.html","PROSE","Unit economics, CAC, LTV, ROAS, logistică, retururi, depozit, articol de stoc-profitability, cash gap.","1","MEDIUM","Юнит-экономика","Economia unitară","YES","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL",""
"ROAS","RO","B","1","ro/index.html","PROSE","Unit economics, CAC, LTV, ROAS, logistică, retururi, depozit, articol de stoc-profitability, cash gap.","1","MEDIUM","Отдача от рекламных расходов","Randamentul cheltuielilor publicitare","YES","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL",""
"CAC","RO","B","1","ro/index.html","PROSE","Unit economics, CAC, LTV, ROAS, logistică, retururi, depozit, articol de stoc-profitability, cash gap.","1","MEDIUM","Стоимость привлечения клиента","Costul de achiziție a clientului","YES","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL",""
"LTV","RO","B","1","ro/index.html","PROSE","Unit economics, CAC, LTV, ROAS, logistică, retururi, depozit, articol de stoc-profitability, cash gap.","1","MEDIUM","Пожизненная ценность клиента","Valoarea pe durata de viață a clientului","YES","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL",""
"Manufacturing","RO","A","1","ro/index.html","PROSE","În imobiliare și închiriere activul este imobilul și chiriașul. În Retail — raftul, categoria și articol de stoc. În comerț cu ridicata / distribuție — depozitu","1","MEDIUM","Производство","Producție","NO","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL",""
"Support","RO","A","1","ro/index.html","PROSE","Monthly director financiar Support","1","MEDIUM","Поддержка","Suport","NO","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL",""
"Treasury & Payment Discipline","RO","E","1","ro/index.html","PROSE","Treasury & Payment Discipline","1","MEDIUM","Казначейство и платёжная дисциплина","Trezorerie și disciplina plăților","YES","YES","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL","module name"
"Fund Planning & Payment Waterfall","RO","A","1","ro/index.html","PROSE","Fund Planning & Payment Waterfall","1","MEDIUM","","","NO","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL","wording not yet proposed — long tail"
"Working Capital Control","RO","A","1","ro/index.html","PROSE","Working Capital Control","1","MEDIUM","","","NO","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL","wording not yet proposed — long tail"
"Analysis","RO","A","1","ro/index.html","PROSE","Articol de stoc flux de numerar Analysis","1","MEDIUM","","","NO","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL","wording not yet proposed — long tail"
"Supplier Rating & Procurement Control","RO","A","1","ro/index.html","PROSE","Supplier Rating & Procurement Control","1","MEDIUM","","","NO","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL","wording not yet proposed — long tail"
"Margin Factor Analysis","RO","A","1","ro/index.html","PROSE","Margin Factor Analysis","1","MEDIUM","","","NO","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL","wording not yet proposed — long tail"
"Power BI Owner","RO","A","1","ro/index.html","PROSE","Power BI Owner tablou de bord","1","MEDIUM","","","NO","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL","wording not yet proposed — long tail"
"ChatGPT","RO","A","1","ro/index.html","PROSE","Facturile pentru ChatGPT, Claude, Copilot și API arată cheltuielile, dar nu arată costul real al rezultatului util, timpul angajaților pentru verificare, prețul","1","MEDIUM","","","NO","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL","wording not yet proposed — long tail"
"Copilot","RO","A","1","ro/index.html","PROSE","Facturile pentru ChatGPT, Claude, Copilot și API arată cheltuielile, dar nu arată costul real al rezultatului util, timpul angajaților pentru verificare, prețul","1","MEDIUM","","","NO","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL","wording not yet proposed — long tail"
"Claude","RO","A","1","ro/index.html","PROSE","Facturile pentru ChatGPT, Claude, Copilot și API arată cheltuielile, dar nu arată costul real al rezultatului util, timpul angajaților pentru verificare, prețul","1","MEDIUM","","","NO","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL","wording not yet proposed — long tail"
"Accepted Business Outcome","RO","A","1","ro/index.html","PROSE","Accepted Business Outcome","1","MEDIUM","","","NO","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL","wording not yet proposed — long tail"
"Financial Effect","RO","A","1","ro/index.html","PROSE","Financial Effect","1","MEDIUM","","","NO","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL","wording not yet proposed — long tail"
"Management Decision","RO","A","1","ro/index.html","PROSE","Management Decision","1","MEDIUM","","","NO","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL","wording not yet proposed — long tail"
"Risk map","RO","A","1","ro/index.html","PROSE","Risk map","1","MEDIUM","","","NO","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL","wording not yet proposed — long tail"
"Document checklist","RO","A","1","ro/index.html","PROSE","Document checklist","1","MEDIUM","","","NO","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL","wording not yet proposed — long tail"
"Payment calendar logic","RO","A","1","ro/index.html","PROSE","Payment calendar logic","1","MEDIUM","","","NO","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL","wording not yet proposed — long tail"
"Action plan","RO","A","1","ro/index.html","PROSE","Action plan","1","MEDIUM","","","NO","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL","wording not yet proposed — long tail"
"Recommendation","RO","A","1","ro/index.html","PROSE","Recommendation","1","MEDIUM","","","NO","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL","wording not yet proposed — long tail"
"Bank statements","RO","A","1","ro/index.html","PROSE","Bank statements","1","MEDIUM","","","NO","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL","wording not yet proposed — long tail"
"AP aging","RO","A","1","ro/index.html","PROSE","AR / AP aging","1","MEDIUM","","","NO","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL","wording not yet proposed — long tail"
"Owner view","RO","A","1","ro/index.html","PROSE","Owner view: ce necesită decizie","1","MEDIUM","","","NO","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL","wording not yet proposed — long tail"
"Cash flow & treasury control","RO","A","1","ro/index.html","PROSE","Cash flow & treasury control","1","MEDIUM","","","NO","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL","wording not yet proposed — long tail"
"Iacovlev Ghennadi","RO","A","1","ro/privacy.html","PROSE","Iacovlev Ghennadi","1","MEDIUM","","","NO","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL","wording not yet proposed — long tail"
"Google Analytics","RO","A","1","ro/privacy.html","PROSE","Site-ul folosește Google Analytics 4 pentru statistica anonimizată a vizitelor și interacțiunilor. Google Analytics se încarcă numai după consimțământul dvs. ex","1","MEDIUM","","","NO","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL","wording not yet proposed — long tail"
"GitHub Pages","RO","A","1","ro/privacy.html","PROSE","Nu vindem datele dvs. Pentru funcționarea site-ului sunt implicați: găzduirea paginilor (GitHub Pages), analitica web și fonturile web (serviciile Google), prec","1","MEDIUM","","","NO","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL","wording not yet proposed — long tail"
"Cookies","RO","A","1","ro/privacy.html","PROSE","10. Cookies și fonturi","1","MEDIUM","","","NO","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL","wording not yet proposed — long tail"
"GMT","RO","A","1","ro/questionnaire.html","ARIA","ex.: GMT+2","1","MEDIUM","","","NO","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL","wording not yet proposed — long tail"
"Services","RO","A","1","ro/questionnaire.html","PROSE","Services","1","MEDIUM","","","NO","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL","wording not yet proposed — long tail"
"Other","RO","A","1","ro/questionnaire.html","PROSE","Other","1","MEDIUM","","","NO","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL","wording not yet proposed — long tail"
"Rom","RO","A","1","ro/questionnaire.html","PROSE","Română","1","MEDIUM","","","NO","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL","wording not yet proposed — long tail"
"Google Meet","RO","A","1","ro/questionnaire.html","PROSE","Google Meet","1","MEDIUM","","","NO","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL","wording not yet proposed — long tail"
"Microsoft Teams","RO","A","1","ro/questionnaire.html","PROSE","Microsoft Teams","1","MEDIUM","","","NO","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL","wording not yet proposed — long tail"
"Telegram call","RO","A","1","ro/questionnaire.html","PROSE","Telegram call","1","MEDIUM","","","NO","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL","wording not yet proposed — long tail"
"HoReCa","RO","A","1","ro/questionnaire.html","PROSE","HoReCa / restaurante / cafenele","1","MEDIUM","","","NO","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL","wording not yet proposed — long tail"
"Tableau","RO","A","1","ro/questionnaire.html","PROSE","Looker / Tableau / alt BI","1","MEDIUM","","","NO","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL","wording not yet proposed — long tail"
"Looker","RO","A","1","ro/questionnaire.html","PROSE","Looker / Tableau / alt BI","1","MEDIUM","","","NO","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL","wording not yet proposed — long tail"
"Zapier","RO","A","1","ro/questionnaire.html","PROSE","Make / n8n / Zapier","1","MEDIUM","","","NO","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL","wording not yet proposed — long tail"
"Meet","RO","A","1","ro/questionnaire.html","PROSE","Întâlniri săptămânale Zoom/Meet","1","MEDIUM","","","NO","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL","wording not yet proposed — long tail"
"Email summary","RO","A","1","ro/questionnaire.html","PROSE","Email summary după întâlnire","1","MEDIUM","","","NO","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL","wording not yet proposed — long tail"
"Google Drive","RO","A","1","ro/questionnaire.html","PROSE","Google Drive","1","MEDIUM","","","NO","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL","wording not yet proposed — long tail"
"Microsoft OneDrive","RO","A","1","ro/questionnaire.html","PROSE","Microsoft OneDrive","1","MEDIUM","","","NO","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL","wording not yet proposed — long tail"
"Dropbox","RO","A","1","ro/questionnaire.html","PROSE","Dropbox","1","MEDIUM","","","NO","NO","Visible on the homepage, questionnaire, confirmation or privacy text during the journey.","NO","LOW","FAIL","wording not yet proposed — long tail"
"Payment Gate","RU","E","2","capacity-released.html client-base-control-system.html kaznacheystvo.html","JSON_LD META OPEN_GRAPH TWITTER PROSE","Казначейство для бизнеса: фондовое планирование, метафонды, водопад платежей, приоритеты, Payment Gate, покрытие 7/14/30 дней, Power BI dashboard и ИИ treasury ","15","HIGH","Платёжный шлюз","Poarta de plată","YES","YES","","NO","MEDIUM","FAIL","MODULE"
"Payment Gate","RO","E","2","ro/capacity-released.html ro/client-base-control-system.html ro/kaznacheystvo.html","JSON_LD META OPEN_GRAPH TWITTER PROSE","Trezorerie pentru afaceri: planificare pe fonduri, metafonduri, cascada plăților, priorități, Payment Gate, acoperire pe 7/14/30 de zile, dashboard Power BI și ","15","HIGH","Платёжный шлюз","Poarta de plată","YES","YES","","NO","MEDIUM","FAIL","MODULE"
"Revenue at Risk","RU","E","2","client-base-control-system.html materials.html renewal-revenue-at-risk.html","META OPEN_GRAPH TWITTER JSON_LD PROSE","Client Base Control System FINMENTOR: как управлять продлениями в подписочном бизнесе. Разбор на одном клиенте: профиль актива, склонность к продлению, Expected","14","HIGH","Выручка под риском","Venituri în risc","YES","YES","","NO","MEDIUM","FAIL","metric"
"Revenue at Risk","RO","E","2","ro/client-base-control-system.html ro/materials.html ro/renewal-revenue-at-risk.html","META OPEN_GRAPH TWITTER JSON_LD PROSE","Client Base Control System FINMENTOR: cum gestionați prelungirile într-un business pe abonamente. Analiză pe un singur client: profilul activului, propensiunea ","14","HIGH","Выручка под риском","Venituri în risc","YES","YES","","NO","MEDIUM","FAIL","metric"
"Expected Renewal Value","RU","E","2","client-base-control-system.html materials.html renewal-revenue-at-risk.html","META OPEN_GRAPH TWITTER JSON_LD PROSE","Client Base Control System FINMENTOR: как управлять продлениями в подписочном бизнесе. Разбор на одном клиенте: профиль актива, склонность к продлению, Expected","13","HIGH","Ожидаемая стоимость продлений","Valoarea așteptată a reînnoirilor","YES","YES","","NO","MEDIUM","FAIL","metric"
"Expected Renewal Value","RO","E","2","ro/client-base-control-system.html ro/materials.html ro/renewal-revenue-at-risk.html","META OPEN_GRAPH TWITTER JSON_LD PROSE","Client Base Control System FINMENTOR: cum gestionați prelungirile într-un business pe abonamente. Analiză pe un singur client: profilul activului, propensiunea ","13","HIGH","Ожидаемая стоимость продлений","Valoarea așteptată a reînnoirilor","YES","YES","","NO","MEDIUM","FAIL","metric"
"dashboard","RU","A","2","cases.html index.html power-bi-dlya-sobstvennika.html","META OPEN_GRAPH TWITTER JSON_LD","Анонимные управленческие сценарии FINMENTOR без раскрытия клиентов: оборотный капитал, казначейство и платежи, dashboard для собственника — ситуация, действия и","12","HIGH","панель собственника","tablou de bord","NO","NO","","NO","MEDIUM","FAIL",""
"SKU","RU","B","2","fcf-postavshiki.html retail-margin-engine.html","META OPEN_GRAPH TWITTER JSON_LD","CFO-методология анализа FCF по SKU: какие товары создают свободный денежный поток, какие замораживают оборотный капитал, и где операционный цикл финансирует пос","12","HIGH","Товарная позиция","Articol de stoc","YES","NO","","NO","MEDIUM","FAIL",""
"Supplier Shelf Credit","RU","E","2","retail-margin-engine.html supplier-shelf-credit.html","META OPEN_GRAPH TWITTER JSON_LD","FINMENTOR Retail Margin Engine — флагманская CFO-модель для retail: норма маржи на метр, категорию и SKU, Supplier Shelf Credit, promo и retrobonus, dashboard с","12","HIGH","Финансирование товарной полки поставщиком","Finanțarea stocului de către furnizor","YES","YES","","NO","MEDIUM","FAIL","MODULE"
"SKU","RO","B","2","ro/fcf-postavshiki.html ro/retail-margin-engine.html","META OPEN_GRAPH TWITTER JSON_LD","Metodologia CFO de analiză FCF pe SKU: ce produse generează flux de numerar liber, care blochează capitalul de lucru și unde ciclul operațional este finanțat de","12","HIGH","Товарная позиция","Articol de stoc","YES","NO","","NO","MEDIUM","FAIL",""
"Supplier Shelf Credit","RO","E","2","ro/retail-margin-engine.html ro/supplier-shelf-credit.html","META OPEN_GRAPH TWITTER JSON_LD","FINMENTOR Retail Margin Engine — modelul CFO flagship pentru retail: norma de marjă pe metru, categorie și SKU, Supplier Shelf Credit, promo și retrobonus, dash","12","HIGH","Финансирование товарной полки поставщиком","Finanțarea stocului de către furnizor","YES","YES","","NO","MEDIUM","FAIL","MODULE"
